timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
218379976,218379502,36.66072307915204,126.34204044389328,9.561967,22.91658,-0.0,1.7817813,2.9326448,9.464846,2,0,1,0
219387532,219387044,36.6607233063633,126.34204048630933,9.52701,22.981873,-0.0,1.7814327,2.9324174,9.431541,2,0,1,0
220385228,220384708,36.66072352061535,126.34204025654067,9.511335,23.065548,-0.0,1.7809248,2.9324687,9.413281,2,0,1,0
221382843,221382373,36.660723745124976,126.34204033480681,9.515192,23.168146,-0.0,1.7804325,2.9325495,9.408658,2,0,1,0
222380520,222380039,36.66072380305131,126.3420404019397,9.557508,23.29955,-0.0,1.7799082,2.932308,9.408658,2,0,1,0
223388045,223387583,36.660724204770695,126.3420396932426,9.620962,23.438673,-0.0,1.7795789,2.9324913,9.408658,2,0,1,0
224385679,224385250,36.66072433778524,126.34203827815536,9.969742,23.841972,-0.0,1.7791351,2.932274,nan,2,0,0,0
225383399,225382917,36.66072333011199,126.34203883873275,10.5295515,24.449524,-0.0,1.7786847,2.932394,nan,2,0,0,0
226381098,226380585,36.66072195388506,126.34204073055488,11.245674,25.207935,-0.0,1.7782778,2.9321945,nan,2,0,0,0
227378696,227378254,36.660721543812,126.34204234703837,12.127594,26.129307,-0.0,1.7776463,2.9323287,nan,2,0,0,0
228386266,228385801,36.660722520172,126.34204302458915,13.085862,27.120548,-0.0,1.7771546,2.9325564,nan,2,0,0,0
229383945,229383471,36.66072388001753,126.34204292368919,14.141983,28.20993,-0.0,1.77676,2.9329512,nan,2,0,0,0
230381685,230381141,36.660725110142124,126.34204133811501,15.16465,29.256603,-0.0,1.7765777,2.9326017,nan,2,0,0,0
231379262,231378812,36.660725071478886,126.34204031317861,16.178726,30.295305,-0.0,1.7764106,2.9326081,nan,2,0,0,0
232386824,232386362,36.660723542751604,126.34203911569993,17.225122,31.368725,-0.0,1.7763809,2.9326975,nan,2,0,0,0
233384469,233384038,36.66072225937508,126.3420382384418,18.284554,32.457047,-0.0,1.7760898,2.932703,nan,2,0,0,0
234382178,234381706,36.660721611198554,126.34203904201965,19.139015,33.3421,-0.0,1.7758425,2.932739,nan,2,0,0,0
235380550,235379379,36.66072228585091,126.34204054484478,20.05043,34.292572,-0.0,1.7756199,2.932452,nan,2,0,0,0
236387371,236386931,36.66072341529463,126.34204114776654,22.46773,36.7455,-0.0,1.7755889,2.9326017,nan,2,0,0,0
237385517,237384605,36.660724094441235,126.34204093433262,25.252045,39.57783,-0.0,1.7754173,2.93234,nan,2,0,0,0
238382848,238382280,36.66072386733294,126.34204018803796,28.174759,42.553986,-0.0,1.7751776,2.932421,nan,2,0,0,0
239380917,239379955,36.66072359857663,126.34204010088982,31.057432,45.494213,-0.0,1.7749487,2.9325109,nan,2,0,0,0
240388111,240387508,36.66072297170443,126.34203995799925,34.05925,48.559044,-0.0,1.7749406,2.9323652,nan,2,0,0,0
241385978,241385185,36.66072269698733,126.34204087310802,36.994785,51.556805,-0.0,1.7747256,2.9324672,nan,2,0,0,0
242383415,242382861,36.66072356999927,126.34204201204642,39.95816,54.59593,-0.0,1.774571,2.9325635,nan,2,0,0,0
243381391,243380538,36.66072425611008,126.34204176375538,42.87403,57.592377,-0.0,1.774408,2.9323432,nan,2,0,0,0
244378787,244378216,36.66072325864313,126.34204007163036,45.7836,60.590504,-0.0,1.7742649,2.9324713,nan,2,0,0,0
245386480,245385772,36.66072201522494,126.34203986680427,48.74047,63.64441,-0.0,1.7742919,2.9323683,nan,2,0,0,0
246384130,246383450,36.660721078197064,126.34204163421427,51.59221,66.59565,-0.0,1.7742411,2.93219,nan,2,0,0,0
247381743,247381128,36.66072184033922,126.34204380891217,54.39295,69.49669,-0.0,1.774112,2.9323337,nan,2,0,0,0
248379385,248378807,36.66072425876861,126.3420442858196,56.58801,71.79235,-0.0,1.7740061,2.932478,nan,2,0,0,0
249386844,249386365,36.66072568302464,126.34204139416951,57.878647,73.18299,-0.0,1.7740124,2.9323642,nan,2,0,0,0
250384606,250384044,36.660724159417704,126.34203829419299,58.64357,74.04631,-0.0,1.7739156,2.9324598,nan,2,0,0,0
251382164,251381724,36.6607214763059,126.34203640635018,59.03164,74.53588,-0.0,1.7738549,2.9325604,nan,2,0,0,0
252379997,252379404,36.66071437514761,126.34202831513018,59.197926,74.80147,-0.0,1.7738569,2.9323146,nan,2,0,0,0
253387470,253386962,36.660707886358395,126.34202522556241,59.306507,75.01135,-0.0,1.7740145,2.932497,nan,2,0,0,0
254385072,254384643,36.660714403819014,126.34204103206035,59.40074,75.204926,-0.0,1.7741033,2.9325397,nan,2,0,0,0
255382810,255382323,36.66073863282063,126.34205899868014,59.493946,75.398285,-0.0,1.7741667,2.9328544,nan,2,0,0,0
256380477,256380005,36.66076347464775,126.3420624239997,59.69377,75.69803,-0.0,1.7741287,2.9325075,nan,2,0,0,0
257388064,257387564,36.660769250424025,126.34204712122454,59.613583,75.718124,-0.0,1.7742431,2.9326208,nan,2,0,0,0
258385761,258385246,36.66077329701872,126.34203173451665,59.617958,75.8215,-0.0,1.7742869,2.9323437,nan,2,0,0,0
